Genre,1,2,3,4,5
Dance,94,215,321,235,141
Folk,290,336,235,87,57
Country,343,346,198,85,33
Classical music,138,249,281,189,146
Musical,195,248,283,166,116
Pop,60,155,260,314,218
Rock,55,105,207,294,343
Metal or Hardrock,384,219,164,136,104
Punk,319,227,220,152,84
"Hiphop, Rap",212,206,206,224,158
"Reggae, Ska",179,252,285,195,92
"Swing, Jazz",204,231,271,198,100
Rock n roll,116,191,298,231,167
Alternative,213,220,247,172,151
Latino,191,250,238,172,151
"Techno, Trance",380,207,194,140,82
Opera,389,294,175,98,53
